方向,代碼,名稱,訂單價格,訂單數量,訂單金額,交易狀態,已成交@均價,下單時間,類型,期限,盤前競價,時段,觸發價,允許開倉,市場,幣種,訂單來源,成交數量,成交價格,成交金額,成交時間,市場,幣種,對手經紀,備註,佣金,平台使用費,交收費,印花稅,交易費,證監會徵費,財匯局徵費,證監會規費,交易活動費,期權監管費,期權清算費,期權交收費,綜合審計跟蹤監管費,合計費用
買入,59707,恒指匯豐八九牛2.C,0.024,"200,000","4,800.00",已撤單,0@0.00,2026/04/21 11:50:51 (香港),限價單,當日有效,不允許,,,,港股,HKD,,,,,,,,,,,,,,,,,,,,,,,
賣出,59707,恒指匯豐八九牛2.C,0.026,"200,000","5,200.00",全部成交,"200,000@0.026",2026/04/21 11:48:30 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"200,000",0.026,"5,200.00",2026/04/21 11:54:13 (香港),港股,HKD,9731,,0,15,0.22,0,0.29,0.14,0.01,,,,,,,15.66
買入,59707,恒指匯豐八九牛2.C,0.023,"300,000","6,900.00",已撤單,0@0.00,2026/04/21 11:38:43 (香港),限價單,當日有效,不允許,,,,港股,HKD,,,,,,,,,,,,,,,,,,,,,,,
賣出,59707,恒指匯豐八九牛2.C,0.025,"300,000","7,500.00",全部成交,"300,000@0.025",2026/04/21 11:37:29 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"300,000",0.025,"7,500.00",2026/04/21 11:37:30 (香港),港股,HKD,9731,,0,15,0.32,0,0.42,0.2,0.01,,,,,,,15.95
買入,59707,恒指匯豐八九牛2.C,0.024,"400,000","9,600.00",全部成交,"400,000@0.024",2026/04/21 11:30:51 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"400,000",0.024,"9,600.00",2026/04/21 11:30:51 (香港),港股,HKD,9731,,0,15,0.4,0,0.54,0.26,0.01,,,,,,,16.21
賣出,59707,恒指匯豐八九牛2.C,0.024,"200,000","4,800.00",全部成交,"200,000@0.024",2026/04/21 11:10:19 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"200,000",0.024,"4,800.00",2026/04/21 11:11:26 (香港),港股,HKD,9731,,0,15,0.2,0,0.27,0.13,0.01,,,,,,,15.61
買入,59707,恒指匯豐八九牛2.C,0.023,"200,000","4,600.00",全部成交,"200,000@0.023",2026/04/21 11:08:03 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"200,000",0.023,"4,600.00",2026/04/21 11:08:06 (香港),港股,HKD,9731,,0,15,0.19,0,0.26,0.12,0.01,,,,,,,15.58
賣出,59707,恒指匯豐八九牛2.C,0.024,"200,000","4,800.00",已撤單,0@0.00,2026/04/21 11:07:20 (香港),限價單,當日有效,不允許,,,,港股,HKD,,,,,,,,,,,,,,,,,,,,,,,
賣出,59707,恒指匯豐八九牛2.C,0.029,"100,000","2,900.00",已撤單,0@0.00,2026/04/21 10:58:51 (香港),限價單,當日有效,不允許,,,,港股,HKD,,,,,,,,,,,,,,,,,,,,,,,
賣出,59707,恒指匯豐八九牛2.C,0.031,"300,000","9,300.00",已撤單,0@0.00,2026/04/21 10:55:55 (香港),限價單,當日有效,不允許,,,,港股,HKD,,,,,,,,,,,,,,,,,,,,,,,
買入,59707,恒指匯豐八九牛2.C,0.028,"100,000","2,800.00",全部成交,"100,000@0.028",2026/04/21 10:51:08 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"100,000",0.028,"2,800.00",2026/04/21 10:53:00 (香港),港股,HKD,9731,,0,15,0.12,0,0.16,0.08,0,,,,,,,15.36
買入,59707,恒指匯豐八九牛2.C,0.03,"500,000","15,000.00",全部成交,"500,000@0.03",2026/04/21 10:48:52 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"500,000",0.03,"15,000.00",2026/04/21 10:49:04 (香港),港股,HKD,9731,,0,15,0.63,0,0.85,0.41,0.02,,,,,,,16.91
賣出,58920,恒指中銀八九牛W.C,0.023,"1,000,000","23,000.00",全部成交,"1,000,000@0.023",2026/04/21 10:41:17 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"1,000,000",0.023,"23,000.00",2026/04/21 10:44:40 (香港),港股,HKD,9792,,0,15,0.97,0,1.3,0.62,0.03,,,,,,,17.92
買入,58920,恒指中銀八九牛W.C,0.023,"1,000,000","23,000.00",全部成交,"1,000,000@0.023",2026/04/21 10:39:11 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"1,000,000",0.023,"23,000.00",2026/04/21 10:39:16 (香港),港股,HKD,9792,,0,15,0.97,0,1.3,0.62,0.03,,,,,,,17.92
賣出,59022,恒指國君八十牛T.C,0.03,"700,000","21,000.00",全部成交,"700,000@0.03",2026/04/21 10:31:12 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"200,000",0.03,"6,000.00",2026/04/21 10:32:27 (香港),港股,HKD,9767,,0,15,0.88,0,1.19,0.57,0.03,,,,,,,17.67
,,,,,,,,,,,,,,,,,,"500,000",0.03,"15,000.00",2026/04/21 10:32:25 (香港),港股,HKD,8536,,,,,,,,,,,,,,,
賣出,59022,恒指國君八十牛T.C,0.03,"700,000","21,000.00",已撤單,0@0.00,2026/04/21 10:24:38 (香港),限價單,當日有效,不允許,,,,港股,HKD,,,,,,,,,,,,,,,,,,,,,,,
買入,59022,恒指國君八十牛T.C,0.028,"200,000","5,600.00",全部成交,"200,000@0.028",2026/04/21 10:18:02 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"200,000",0.028,"5,600.00",2026/04/21 10:21:08 (香港),港股,HKD,9767,,0,15,0.24,0,0.32,0.15,0.01,,,,,,,15.72
賣出,59022,恒指國君八十牛T.C,0.029,"200,000","5,800.00",全部成交,"200,000@0.029",2026/04/21 10:17:20 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"200,000",0.029,"5,800.00",2026/04/21 10:17:20 (香港),港股,HKD,9767,,0,15,0.24,0,0.33,0.16,0.01,,,,,,,15.74
買入,59022,恒指國君八十牛T.C,0.029,"200,000","5,800.00",全部成交,"200,000@0.029",2026/04/21 10:11:12 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"200,000",0.029,"5,800.00",2026/04/21 10:15:49 (香港),港股,HKD,9767,,0,15,0.24,0,0.33,0.16,0.01,,,,,,,15.74
賣出,59022,恒指國君八十牛T.C,0.028,"500,000","14,000.00",已撤單,0@0.00,2026/04/21 10:05:10 (香港),限價單,當日有效,不允許,,,,港股,HKD,,,,,,,,,,,,,,,,,,,,,,,
買入,59022,恒指國君八十牛T.C,0.03,"500,000","15,000.00",全部成交,"500,000@0.03",2026/04/21 09:58:08 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"500,000",0.03,"15,000.00",2026/04/21 09:58:12 (香港),港股,HKD,9767,,0,15,0.63,0,0.85,0.41,0.02,,,,,,,16.91
賣出,58920,恒指中銀八九牛W.C,0.022,"500,000","11,000.00",全部成交,"500,000@0.022",2026/04/21 09:55:48 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"500,000",0.022,"11,000.00",2026/04/21 09:56:30 (香港),港股,HKD,9792,,0,15,0.46,0,0.62,0.3,0.02,,,,,,,16.4
買入,58920,恒指中銀八九牛W.C,0.024,"500,000","12,000.00",全部成交,"500,000@0.024",2026/04/21 09:51:39 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"500,000",0.024,"12,000.00",2026/04/21 09:52:11 (香港),港股,HKD,9792,,0,15,0.5,0,0.68,0.32,0.02,,,,,,,16.52
賣出,55734,恒指華泰八四熊Z.P,0.042,"600,000","25,200.00",全部成交,"600,000@0.042",2026/04/21 09:40:16 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"100,000",0.042,"4,200.00",2026/04/21 09:40:22 (香港),港股,HKD,1405,,0,15,1.06,0,1.43,0.68,0.04,,,,,,,18.21
,,,,,,,,,,,,,,,,,,"500,000",0.042,"21,000.00",2026/04/21 09:40:22 (香港),港股,HKD,8501,,,,,,,,,,,,,,,
買入,55734,恒指華泰八四熊Z.P,0.03,"10,000",300,已撤單,0@0.00,2026/04/21 09:36:07 (香港),限價單,當日有效,不允許,,,,港股,HKD,,,,,,,,,,,,,,,,,,,,,,,
買入,55734,恒指華泰八四熊Z.P,0.035,"100,000","3,500.00",全部成交,"100,000@0.035",2026/04/21 09:35:24 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"10,000",0.035,350,2026/04/21 09:35:43 (香港),港股,HKD,1405,,0,15,0.13,0,0.2,0.1,0,,,,,,,15.43
,,,,,,,,,,,,,,,,,,"10,000",0.035,350,2026/04/21 09:35:43 (香港),港股,HKD,1405,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"10,000",0.035,350,2026/04/21 09:35:43 (香港),港股,HKD,1405,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"70,000",0.035,"2,450.00",2026/04/21 09:35:43 (香港),港股,HKD,1405,,,,,,,,,,,,,,,
買入,55734,恒指華泰八四熊Z.P,0.035,"100,000","3,500.00",全部成交,"100,000@0.035",2026/04/21 09:34:05 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"100,000",0.035,"3,500.00",2026/04/21 09:34:07 (香港),港股,HKD,1440,,0,15,0.15,0,0.2,0.09,0.01,,,,,,,15.45
買入,55734,恒指華泰八四熊Z.P,0.036,"100,000","3,600.00",全部成交,"100,000@0.036",2026/04/21 09:33:52 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"30,000",0.036,"1,080.00",2026/04/21 09:34:01 (香港),港股,HKD,1445,,0,15,0.16,0,0.2,0.1,0,,,,,,,15.46
,,,,,,,,,,,,,,,,,,"10,000",0.036,360,2026/04/21 09:34:01 (香港),港股,HKD,1445,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"60,000",0.036,"2,160.00",2026/04/21 09:34:01 (香港),港股,HKD,737,,,,,,,,,,,,,,,
買入,NVDA260424C200000,NVDA 260424 200.00C,2,10,"2,000.00",已撤單,0@0.00,2026/04/20 14:01:26 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
賣出,NVDA260424C200000,NVDA 260424 200.00C,3.2,10,"3,200.00",已撤單,0@0.00,2026/04/20 13:48:02 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
賣出,NVDA260424C200000,NVDA 260424 200.00C,2.9,20,"5,800.00",全部成交,20@2.90,2026/04/20 13:44:04 (美東),限價單,當日有效,,,,,美股,USD,,20,2.9,"5,800.00",2026/04/20 13:44:17 (美東),美股,USD,,,13,6,,,,,,0.12,0.07,0.26,0.4,3.6,,23.45
買入,NVDA260424C200000,NVDA 260424 200.00C,2.6,10,"2,600.00",已撤單,0@0.00,2026/04/20 13:25:32 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
賣出,NVDA260424C200000,NVDA 260424 200.00C,2.8,10,"2,800.00",全部成交,10@2.80,2026/04/20 13:17:28 (美東),限價單,當日有效,,,,,美股,USD,,10,2.8,"2,800.00",2026/04/20 13:21:10 (美東),美股,USD,,,6.5,3,,,,,,0.06,0.03,0.13,0.2,1.8,,11.72
賣出,NVDA260424C200000,NVDA 260424 200.00C,2.7,3,810,全部成交,3@2.70,2026/04/20 13:08:21 (美東),限價單,當日有效,,,,,美股,USD,,3,2.7,810,2026/04/20 13:08:48 (美東),美股,USD,,,1.99,0.9,,,,,,0.02,0.01,0.04,0.06,0.54,,3.56
買入,NVDA260424C200000,NVDA 260424 200.00C,2.6,3,780,全部成交,3@2.60,2026/04/20 13:03:07 (美東),限價單,當日有效,,,,,美股,USD,,3,2.6,780,2026/04/20 13:03:19 (美東),美股,USD,,,1.99,0.9,,,,,,,,0.04,0.06,0.54,,3.53
買入,NVDA260424C200000,NVDA 260424 200.00C,2.6,10,"2,600.00",全部成交,10@2.60,2026/04/20 12:56:00 (美東),限價單,當日有效,,,,,美股,USD,,1,2.6,260,2026/04/20 12:56:04 (美東),美股,USD,,,6.5,3,,,,,,,,0.13,0.2,1.8,,11.63
,,,,,,,,,,,,,,,,,,9,2.6,"2,340.00",2026/04/20 12:56:04 (美東),美股,USD,,,,,,,,,,,,,,,,
買入,NVDA260424C200000,NVDA 260424 200.00C,2.66,5,"1,330.00",全部成交,5@2.66,2026/04/20 12:55:06 (美東),限價單,當日有效,,,,,美股,USD,,1,2.66,266,2026/04/20 12:55:07 (美東),美股,USD,,,3.25,1.5,,,,,,,,0.06,0.1,0.9,,5.81
,,,,,,,,,,,,,,,,,,4,2.66,"1,064.00",2026/04/20 12:55:07 (美東),美股,USD,,,,,,,,,,,,,,,,
買入,NVDA260424C200000,NVDA 260424 200.00C,2.66,5,"1,330.00",全部成交,5@2.652,2026/04/20 12:53:31 (美東),限價單,當日有效,,,,,美股,USD,,4,2.65,"1,060.00",2026/04/20 12:53:32 (美東),美股,USD,,,3.25,1.5,,,,,,,,0.06,0.1,0.9,,5.81
,,,,,,,,,,,,,,,,,,1,2.66,266,2026/04/20 12:53:32 (美東),美股,USD,,,,,,,,,,,,,,,,
買入,NVDA260424C200000,NVDA 260424 200.00C,2.66,10,"2,660.00",全部成交,10@2.66,2026/04/20 12:49:53 (美東),限價單,當日有效,,,,,美股,USD,,10,2.66,"2,660.00",2026/04/20 12:50:22 (美東),美股,USD,,,6.5,3,,,,,,,,0.13,0.2,1.8,,11.63
買入,NVDA260424C200000,NVDA 260424 200.00C,2.7,10,"2,700.00",全部成交,10@2.70,2026/04/20 12:45:43 (美東),限價單,當日有效,,,,,美股,USD,,10,2.7,"2,700.00",2026/04/20 12:47:17 (美東),美股,USD,,,6.5,3,,,,,,,,0.13,0.2,1.8,,11.63
買入,NVDA260424C200000,NVDA 260424 200.00C,2.65,5,"1,325.00",已撤單,0@0.00,2026/04/20 12:40:16 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
買入,NVDA260424C200000,NVDA 260424 200.00C,2.74,10,"2,740.00",全部成交,10@2.72,2026/04/20 12:33:20 (美東),限價單,當日有效,,,,,美股,USD,,10,2.72,"2,720.00",2026/04/20 12:33:57 (美東),美股,USD,,,6.5,3,,,,,,,,0.13,0.2,1.8,,11.63
買入,NVDA260424C200000,NVDA 260424 200.00C,2.63,10,"2,630.00",已撤單,0@0.00,2026/04/20 12:32:47 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
賣出,MU260424C445000,MU 260424 445.00C,13.1,4,"5,240.00",全部成交,4@13.10,2026/04/20 12:20:27 (美東),限價單,當日有效,,,,,美股,USD,,4,13.1,"5,240.00",2026/04/20 12:26:51 (美東),美股,USD,,,2.6,1.2,,,,,,0.11,0.01,0.05,0.08,0.72,,4.77
買入,MU260424C445000,MU 260424 445.00C,13.45,3,"4,035.00",全部成交,3@13.45,2026/04/20 12:19:35 (美東),限價單,當日有效,,,,,美股,USD,,3,13.45,"4,035.00",2026/04/20 12:19:47 (美東),美股,USD,,,1.99,0.9,,,,,,,,0.04,0.06,0.54,,3.53
沽空,SNDK260424C915000,SNDK 260424 915.00C,44.5,1,"4,450.00",下單失敗,0@0.00,2026/04/20 12:18:58 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
賣出,MU260424C445000,MU 260424 445.00C,12.95,3,"3,885.00",全部成交,3@12.95,2026/04/20 12:17:44 (美東),限價單,當日有效,,,,,美股,USD,,3,12.95,"3,885.00",2026/04/20 12:17:45 (美東),美股,USD,,,1.99,0.9,,,,,,0.08,0.01,0.04,0.06,0.54,,3.62
賣出,SNDK260424C915000,SNDK 260424 915.00C,44.5,1,"4,450.00",全部成交,1@44.50,2026/04/20 12:16:52 (美東),限價單,當日有效,,,,,美股,USD,,1,44.5,"4,450.00",2026/04/20 12:18:57 (美東),美股,USD,,,1.99,0.3,,,,,,0.09,0.01,0.01,0.02,0.18,,2.6
賣出,SNDK260424C915000,SNDK 260424 915.00C,45.5,2,"9,100.00",全部成交,2@45.50,2026/04/20 12:10:26 (美東),限價單,當日有效,,,,,美股,USD,,2,45.5,"9,100.00",2026/04/20 12:11:09 (美東),美股,USD,,,1.99,0.6,,,,,,0.19,0.01,0.03,0.04,0.36,,3.22
賣出,MU260424C445000,MU 260424 445.00C,13.9,1,"1,390.00",已撤單,0@0.00,2026/04/20 12:08:58 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
賣出,TSLA260420C392500,TSLA 260420 392.50C,1.39,1,139,全部成交,1@1.39,2026/04/20 12:05:23 (美東),限價單,當日有效,,,,,美股,USD,,1,1.39,139,2026/04/20 12:05:40 (美東),美股,USD,,,1.99,0.3,,,,,,0.01,0.01,0.01,0.02,0.18,,2.52
賣出,MU260424C455000,MU 260424 455.00C,8.05,1,805,全部成交,1@8.05,2026/04/20 12:04:26 (美東),限價單,當日有效,,,,,美股,USD,,1,8.05,805,2026/04/20 12:05:43 (美東),美股,USD,,,1.99,0.3,,,,,,0.02,0.01,0.01,0.02,0.18,,2.53
賣出,TSLA260420C392500,TSLA 260420 392.50C,1.17,1,117,已撤單,0@0.00,2026/04/20 12:01:08 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
買入,MU260424C455000,MU 260424 455.00C,8,1,800,全部成交,1@8.00,2026/04/20 11:58:07 (美東),限價單,當日有效,,,,,美股,USD,,1,8,800,2026/04/20 11:58:07 (美東),美股,USD,,,1.99,0.3,,,,,,,,0.01,0.02,0.18,,2.5
賣出,MU260424C445000,MU 260424 445.00C,12.6,3,"3,780.00",已撤單,0@0.00,2026/04/20 11:49:16 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
買入,SNDK260424C915000,SNDK 260424 915.00C,40,1,"4,000.00",全部成交,1@40.00,2026/04/20 11:46:53 (美東),限價單,當日有效,,,,,美股,USD,,1,40,"4,000.00",2026/04/20 11:47:57 (美東),美股,USD,,,1.99,0.3,,,,,,,,0.01,0.02,0.18,,2.5
賣出,SNDK260424C915000,SNDK 260424 915.00C,41.3,1,"4,130.00",全部成交,1@41.30,2026/04/20 11:37:54 (美東),限價單,當日有效,,,,,美股,USD,,1,41.3,"4,130.00",2026/04/20 11:37:55 (美東),美股,USD,,,1.99,0.3,,,,,,0.09,0.01,0.01,0.02,0.18,,2.6
買入,MU260424C445000,MU 260424 445.00C,13.3,2,"2,660.00",全部成交,2@13.30,2026/04/20 11:37:32 (美東),限價單,當日有效,,,,,美股,USD,,2,13.3,"2,660.00",2026/04/20 11:37:39 (美東),美股,USD,,,1.99,0.6,,,,,,,,0.03,0.04,0.36,,3.02
買入,MU260424C445000,MU 260424 445.00C,13.9,2,"2,780.00",全部成交,2@13.90,2026/04/20 11:33:36 (美東),限價單,當日有效,,,,,美股,USD,,2,13.9,"2,780.00",2026/04/20 11:33:36 (美東),美股,USD,,,1.99,0.6,,,,,,,,0.03,0.04,0.36,,3.02
買入,SNDK260424C915000,SNDK 260424 915.00C,40.7,1,"4,070.00",已撤單,0@0.00,2026/04/20 11:25:22 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
賣出,SNDK260424C985000,SNDK 260424 985.00C,15.4,3,"4,620.00",全部成交,3@15.40,2026/04/20 11:23:46 (美東),限價單,當日有效,,,,,美股,USD,,3,15.4,"4,620.00",2026/04/20 11:24:04 (美東),美股,USD,,,1.99,0.9,,,,,,0.1,0.01,0.04,0.06,0.54,,3.64
賣出,SNDK260424C985000,SNDK 260424 985.00C,15,1,"1,500.00",全部成交,1@15.00,2026/04/20 11:22:33 (美東),限價單,當日有效,,,,,美股,USD,,1,15,"1,500.00",2026/04/20 11:23:11 (美東),美股,USD,,,1.99,0.3,,,,,,0.03,0.01,0.01,0.02,0.18,,2.54
買入,TSLA260420C392500,TSLA 260420 392.50C,2.1,1,210,全部成交,1@2.10,2026/04/20 11:19:01 (美東),限價單,當日有效,,,,,美股,USD,,1,2.1,210,2026/04/20 11:19:02 (美東),美股,USD,,,1.99,0.3,,,,,,,,0.01,0.02,0.18,,2.5
買入,TSLA260420C392500,TSLA 260420 392.50C,1.71,1,171,已撤單,0@0.00,2026/04/20 11:18:08 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
賣出,SNDK260424C985000,SNDK 260424 985.00C,14.8,1,"1,480.00",已撤單,0@0.00,2026/04/20 11:12:32 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
賣出,SNDK260424C985000,SNDK 260424 985.00C,15,3,"4,500.00",已撤單,0@0.00,2026/04/20 11:01:14 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
買入,SNDK260424C985000,SNDK 260424 985.00C,13.7,1,"1,370.00",全部成交,1@13.63,2026/04/20 10:59:10 (美東),限價單,當日有效,,,,,美股,USD,,1,13.63,"1,363.00",2026/04/20 10:59:11 (美東),美股,USD,,,1.99,0.3,,,,,,,,0.01,0.02,0.18,,2.5
買入,SNDK260424C985000,SNDK 260424 985.00C,13.7,1,"1,370.00",全部成交,1@13.61,2026/04/20 10:58:52 (美東),限價單,當日有效,,,,,美股,USD,,1,13.61,"1,361.00",2026/04/20 10:58:52 (美東),美股,USD,,,1.99,0.3,,,,,,,,0.01,0.02,0.18,,2.5
買入,SNDK260424C990000,SNDK 260424 990.00C,10,1,"1,000.00",已撤單,0@0.00,2026/04/20 10:50:30 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
賣出,SNDK260424C985000,SNDK 260424 985.00C,17.6,1,"1,760.00",已撤單,0@0.00,2026/04/20 10:40:52 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
買入,SNDK260424C985000,SNDK 260424 985.00C,15.7,1,"1,570.00",全部成交,1@15.70,2026/04/20 10:34:35 (美東),限價單,當日有效,,,,,美股,USD,,1,15.7,"1,570.00",2026/04/20 10:34:36 (美東),美股,USD,,,1.99,0.3,,,,,,,,0.01,0.02,0.18,,2.5
買入,SNDK260424C915000,SNDK 260424 915.00C,40.9,1,"4,090.00",全部成交,1@40.90,2026/04/20 10:31:30 (美東),限價單,當日有效,,,,,美股,USD,,1,40.9,"4,090.00",2026/04/20 10:33:40 (美東),美股,USD,,,1.99,0.3,,,,,,,,0.01,0.02,0.18,,2.5
賣出,SNDK260424C985000,SNDK 260424 985.00C,17.6,1,"1,760.00",已撤單,0@0.00,2026/04/20 10:17:43 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
賣出,SNDK260424C935000,SNDK 260424 935.00C,33.4,1,"3,340.00",全部成交,1@33.40,2026/04/20 10:17:21 (美東),限價單,當日有效,,,,,美股,USD,,1,33.4,"3,340.00",2026/04/20 10:19:57 (美東),美股,USD,,,1.99,0.3,,,,,,0.07,0.01,0.01,0.02,0.18,,2.58
買入,SNDK260424C985000,SNDK 260424 985.00C,16.2,1,"1,620.00",全部成交,1@16.20,2026/04/20 09:50:44 (美東),限價單,當日有效,,,,,美股,USD,,1,16.2,"1,620.00",2026/04/20 09:50:49 (美東),美股,USD,,,1.99,0.3,,,,,,,,0.01,0.02,0.18,,2.5
賣出,SNDK260424C915000,SNDK 260424 915.00C,42.5,1,"4,250.00",已撤單,0@0.00,2026/04/20 09:43:59 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
賣出,AVAV260424C187500,AVAV 260424 187.50C,8.5,2,"1,700.00",全部成交,2@8.50,2026/04/20 09:39:39 (美東),限價單,當日有效,,,,,美股,USD,,2,8.5,"1,700.00",2026/04/20 09:41:43 (美東),美股,USD,,,1.99,0.6,,,,,,0.04,0.01,0.03,0.04,0.36,,3.07
買入,SNDK260424C935000,SNDK 260424 935.00C,33,1,"3,300.00",全部成交,1@33.00,2026/04/20 09:37:48 (美東),限價單,當日有效,,,,,美股,USD,,1,33,"3,300.00",2026/04/20 09:39:10 (美東),美股,USD,,,1.99,0.3,,,,,,,,0.01,0.02,0.18,,2.5
賣出,AVAV260424C187500,AVAV 260424 187.50C,10.7,3,"3,210.00",全部成交,3@10.70,2026/04/20 09:35:18 (美東),限價單,當日有效,,,,,美股,USD,,2,10.7,"2,140.00",2026/04/20 10:04:26 (美東),美股,USD,,,1.99,0.9,,,,,,0.06,0.02,0.04,0.06,0.54,,3.61
,,,,,,,,,,,,,,,,,,1,10.7,"1,070.00",2026/04/20 10:04:26 (美東),美股,USD,,,,,,,,,,,,,,,,
買入,55734,恒指華泰八四熊Z.P,0.047,"300,000","14,100.00",全部成交,"300,000@0.047",2026/04/20 15:56:31 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"40,000",0.047,"1,880.00",2026/04/20 15:58:49 (香港),港股,HKD,1799,,0,15,0.59,0,0.8,0.38,0.01,,,,,,,16.78
,,,,,,,,,,,,,,,,,,"210,000",0.047,"9,870.00",2026/04/20 15:57:57 (香港),港股,HKD,1346,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"50,000",0.047,"2,350.00",2026/04/20 15:57:20 (香港),港股,HKD,8476,,,,,,,,,,,,,,,
賣出,66807,恒指法巴八五熊Q.P,0.025,"300,000","7,500.00",全部成交,"300,000@0.025",2026/04/20 15:54:20 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"300,000",0.025,"7,500.00",2026/04/20 15:55:08 (香港),港股,HKD,1348,,0,15,0.32,0,0.42,0.2,0.01,,,,,,,15.95
買入,66807,恒指法巴八五熊Q.P,0.023,"300,000","6,900.00",全部成交,"300,000@0.023",2026/04/20 15:47:34 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"300,000",0.023,"6,900.00",2026/04/20 15:47:55 (香港),港股,HKD,2454,,0,15,0.29,0,0.39,0.19,0.01,,,,,,,15.88
買入,56917,恒指華泰八四熊W.P,0.019,"300,000","5,700.00",已撤單,0@0.00,2026/04/20 15:46:10 (香港),限價單,當日有效,不允許,,,,港股,HKD,,,,,,,,,,,,,,,,,,,,,,,
賣出,67534,恒指摩利八四熊I.P,0.018,"300,000","5,400.00",全部成交,"300,000@0.018",2026/04/20 15:40:53 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"300,000",0.018,"5,400.00",2026/04/20 15:41:42 (香港),港股,HKD,4973,,0,15,0.23,0,0.31,0.15,0.01,,,,,,,15.7
買入,67534,恒指摩利八四熊I.P,0.019,"200,000","3,800.00",已撤單,0@0.00,2026/04/20 15:38:42 (香港),限價單,當日有效,不允許,,,,港股,HKD,,,,,,,,,,,,,,,,,,,,,,,
賣出,56917,恒指華泰八四熊W.P,0.019,"50,000",950,全部成交,"50,000@0.019",2026/04/20 15:37:53 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"50,000",0.019,950,2026/04/20 15:42:12 (香港),港股,HKD,2455,,0,15,0.04,0,0.05,0.03,0,,,,,,,15.12
賣出,58192,恒指信證八甲牛4.C,0.033,"500,000","16,500.00",全部成交,"500,000@0.033",2026/04/20 15:37:15 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"500,000",0.033,"16,500.00",2026/04/20 15:37:19 (香港),港股,HKD,9788,,0,15,0.69,0,0.93,0.45,0.02,,,,,,,17.09
買入,67534,恒指摩利八四熊I.P,0.023,"300,000","6,900.00",全部成交,"300,000@0.0228",2026/04/20 15:36:52 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"240,000",0.023,"5,520.00",2026/04/20 15:37:07 (香港),港股,HKD,2241,,0,15,0.29,0,0.38,0.19,0.01,,,,,,,15.87
,,,,,,,,,,,,,,,,,,"60,000",0.022,"1,320.00",2026/04/20 15:37:01 (香港),港股,HKD,1443,,,,,,,,,,,,,,,
