方向,代碼,名稱,訂單價格,訂單數量,訂單金額,交易狀態,已成交@均價,下單時間,類型,期限,盤前競價,時段,觸發價,允許開倉,市場,幣種,訂單來源,成交數量,成交價格,成交金額,成交時間,市場,幣種,對手經紀,備註,佣金,平台使用費,交收費,印花稅,交易費,證監會徵費,財匯局徵費,證監會規費,交易活動費,期權監管費,期權清算費,期權交收費,綜合審計跟蹤監管費,合計費用
買入,STX260515C645000,STX 260515 645.00C,42.1,1,"4,210.00",下單失敗,0@0.00,2026/04/30 12:58:37 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
買入,STX260508C662500,STX 260508 662.50C,25.5,1,"2,550.00",全部成交,1@25.50,2026/04/30 12:39:59 (美東),限價單,當日有效,,,,,美股,USD,,1,25.5,"2,550.00",2026/04/30 12:40:00 (美東),美股,USD,,,1.99,0.3,,,,,,,,0.01,0.02,0.18,,2.5
賣出,STX260508C662500,STX 260508 662.50C,25.5,1,"2,550.00",全部成交,1@25.50,2026/04/30 12:32:54 (美東),限價單,當日有效,,,,,美股,USD,,1,25.5,"2,550.00",2026/04/30 13:50:27 (美東),美股,USD,,,1.99,0.3,,,,,,0.05,0.01,0.01,0.02,0.18,,2.56
賣出,SNDK260508C1095000,SNDK 260508 1095.00C,77.6,1,"7,760.00",全部成交,1@77.60,2026/04/30 12:29:05 (美東),限價單,當日有效,,,,,美股,USD,,1,77.6,"7,760.00",2026/04/30 13:52:59 (美東),美股,USD,,,1.99,0.3,,,,,,0.16,0.01,0.01,0.02,0.18,,2.67
賣出,SNDK260508C1095000,SNDK 260508 1095.00C,84.4,1,"8,440.00",已撤單,0@0.00,2026/04/30 12:28:18 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
賣出,SNDK260508C1095000,SNDK 260508 1095.00C,84.4,1,"8,440.00",已撤單,0@0.00,2026/04/30 12:28:16 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
買入,SNDK260508C1095000,SNDK 260508 1095.00C,84.4,1,"8,440.00",全部成交,1@84.40,2026/04/30 12:28:15 (美東),限價單,當日有效,,,,,美股,USD,,1,84.4,"8,440.00",2026/04/30 12:28:15 (美東),美股,USD,,,1.99,0.3,,,,,,,,0.01,0.02,0.18,,2.5
賣出,STX260508C625000,STX 260508 625.00C,45,1,"4,500.00",全部成交,1@45.00,2026/04/30 12:26:39 (美東),限價單,當日有效,,,,,美股,USD,,1,45,"4,500.00",2026/04/30 13:47:43 (美東),美股,USD,,,1.99,0.3,,,,,,0.09,0.01,0.01,0.02,0.18,,2.6
買入,STX260508C662500,STX 260508 662.50C,25.5,1,"2,550.00",全部成交,1@25.38,2026/04/30 12:24:07 (美東),限價單,當日有效,,,,,美股,USD,,1,25.38,"2,538.00",2026/04/30 12:24:07 (美東),美股,USD,,,1.99,0.3,,,,,,,,0.01,0.02,0.18,,2.5
買入,STX260508C662500,STX 260508 662.50C,22.1,1,"2,210.00",已撤單,0@0.00,2026/04/30 12:22:24 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
買入,STX260508C625000,STX 260508 625.00C,44,1,"4,400.00",全部成交,1@44.00,2026/04/30 12:19:58 (美東),限價單,當日有效,,,,,美股,USD,,1,44,"4,400.00",2026/04/30 12:19:59 (美東),美股,USD,,,1.99,0.3,,,,,,,,0.01,0.02,0.18,,2.5
賣出,SNDK260508C1095000,SNDK 260508 1095.00C,85,1,"8,500.00",已撤單,0@0.00,2026/04/30 12:12:05 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
買入,SNDK260508C1087500,SNDK 260508 1087.50C,88.8,1,"8,880.00",全部成交,1@88.80,2026/04/30 11:52:53 (美東),限價單,當日有效,,,,,美股,USD,,1,88.8,"8,880.00",2026/04/30 11:52:53 (美東),美股,USD,,,1.99,0.3,,,,,,,,0.01,0.02,0.18,,2.5
買入,SNDK260508C1087500,SNDK 260508 1087.50C,87.6,1,"8,760.00",已撤單,0@0.00,2026/04/30 11:52:42 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
買入,SNDK260508C1095000,SNDK 260508 1095.00C,84.2,1,"8,420.00",全部成交,1@84.20,2026/04/30 11:47:40 (美東),限價單,當日有效,,,,,美股,USD,,1,84.2,"8,420.00",2026/04/30 11:47:41 (美東),美股,USD,,,1.99,0.3,,,,,,,,0.01,0.02,0.18,,2.5
賣出,STX260508C662500,STX 260508 662.50C,32,1,"3,200.00",已撤單,0@0.00,2026/04/30 11:40:33 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
買入,STX260508C662500,STX 260508 662.50C,31.6,1,"3,160.00",全部成交,1@31.60,2026/04/30 11:34:43 (美東),限價單,當日有效,,,,,美股,USD,,1,31.6,"3,160.00",2026/04/30 11:34:43 (美東),美股,USD,,,1.99,0.3,,,,,,,,0.01,0.02,0.18,,2.5
賣出,SNDK260501C1085000,SNDK 260501 1085.00C,60.5,1,"6,050.00",全部成交,1@60.50,2026/04/30 11:29:30 (美東),限價單,當日有效,,,,,美股,USD,,1,60.5,"6,050.00",2026/04/30 11:30:10 (美東),美股,USD,,,1.99,0.3,,,,,,0.12,0.01,0.01,0.02,0.18,,2.63
賣出,LITE260508C845000,LITE 260508 845.00C,92,1,"9,200.00",全部成交,1@92.00,2026/04/30 11:21:48 (美東),限價單,當日有效,,,,,美股,USD,,1,92,"9,200.00",2026/04/30 11:28:46 (美東),美股,USD,,,1.99,0.3,,,,,,0.19,0.01,0.01,0.02,0.18,,2.7
賣出,LITE260508C862500,LITE 260508 862.50C,82.1,1,"8,210.00",全部成交,1@82.10,2026/04/30 11:20:50 (美東),限價單,當日有效,,,,,美股,USD,,1,82.1,"8,210.00",2026/04/30 11:20:51 (美東),美股,USD,,,1.99,0.3,,,,,,0.17,0.01,0.01,0.02,0.18,,2.68
買入,LITE260508C862500,LITE 260508 862.50C,71.5,1,"7,150.00",全部成交,1@71.50,2026/04/30 10:47:51 (美東),限價單,當日有效,,,,,美股,USD,,1,71.5,"7,150.00",2026/04/30 10:47:51 (美東),美股,USD,,,1.99,0.3,,,,,,,,0.01,0.02,0.18,,2.5
買入,SNDK260501C1085000,SNDK 260501 1085.00C,57.7,1,"5,770.00",全部成交,1@57.70,2026/04/30 10:47:12 (美東),限價單,當日有效,,,,,美股,USD,,1,57.7,"5,770.00",2026/04/30 10:47:13 (美東),美股,USD,,,1.99,0.3,,,,,,,,0.01,0.02,0.18,,2.5
買入,SNDK260501C1085000,SNDK 260501 1085.00C,56.3,1,"5,630.00",已撤單,0@0.00,2026/04/30 10:46:56 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
買入,LITE260508C845000,LITE 260508 845.00C,78.1,1,"7,810.00",已撤單,0@0.00,2026/04/30 10:46:32 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
